	bookNo	author	year	book
1675	17314	E. Nesbit	2004	Five Children and It
1676	17314	E. Nesbit	1902	Five Children and It
1677	17354	Luella Agnes Owen	1898	Cave Regions of the Ozarks and Black Hills
1678	17396	Frances Hodgson Burnett	1911	The Secret Garden
1679	17460	R. D. Blackmore	1869	Lorna Doone
1680	17500	Thomas Hardy	1878	The Return of the Native
1681	17504	Elbert Hubbard	1997	The Stranger
1682	17504	Elbert Hubbard	1987	The Stranger
1683	17504	Elbert Hubbard	1986	The Stranger
1684	17504	Elbert Hubbard	1942	The Stranger
1685	17508	H. G. Wells	1897	Certain Personal Matters
1686	17731	Joseph Conrad	1897	The Nigger of the 'Narcissus'
1687	17769	J. Sheridan Le Fanu	1863	The House by the Churchyard
1688	17772	Juliana Horatia Ewing	1869	Mrs. Overtheway's Remembrances
1689	17780	George Eliot	1857	Scenes of Clerical Life
1690	17792	Mary E. Wilkins Freeman	1899	The Jamesons
1691	17844	Will Lillibridge	1941	Berlin Diary
1692	17851	Mary Prince	1831	The History of Mary Prince
1693	17854	Paul Laurence Dunbar	1902	The Sport of the Gods
1694	17965	Alfred Ollivant	1963	Family Favourites
1695	17973	William Morris	2002	The Story of Lucy Gault
1696	18000	Anthony Trollope	1867	Phineas Finn
1697	18021	Herbert Allen Giles	1902	China and the Chinese
1698	18135	Alexander Smith	1857	Der Nachsommer
1699	18136	William Morgan	2002	The Story of Lucy Gault
1700	18137	Henry Beam Piper	1962	Little Fuzzy
1701	18185	Robert W. Chambers	1997	The Stranger
1702	18185	Robert W. Chambers	1987	The Stranger
1703	18185	Robert W. Chambers	1986	The Stranger
1704	18185	Robert W. Chambers	1942	The Stranger
1705	18202	William Withington	2002	The Story of Lucy Gault
1706	18224	Cory Doctorow	2005	Someone Comes to Town, Someone Leaves Town
1707	18247	Mary Shelley	1826	The Last Man
1708	18259	Booth Tarkington	1922	Gentle Julia
1709	18304	Julian Street	1927	Adrienne Mesurat
1710	18328	William Morris	1876	The Story of Sigurd the Volsung and the Fall of the Niblungs
1711	18458	Andre Norton	1957	Star Born
1712	18459	Francesco Colonna	1999	Hypnerotomachia Poliphili
1713	18459	Francesco Colonna	1499	Hypnerotomachia Poliphili
1714	18508	Charles Brockden Brown	1799	Arthur Mervyn
1715	18510	James Runciman	2006	The Jesus Dynasty
1716	18513	John Mark	1997	Cash: The Autobiography
1717	18566	Henry James, Junr.	1879	Hawthorne
1718	18582	Elizabeth Stuart Phelps	1866	Gypsy Breynton
1719	18602	George Oliver Smith	1959	"The Fourth ""R"""
1720	18614	Elizabeth Lewis and George MacDonald	1871	At the Back of the North Wind
1721	18626	Arthur Scott Bailey	1951	The Sands of Mars
1722	18640	Anthony Trollope	1874	Phineas Redux
1723	18666	L. T. Meade	1922	Seven Pillars of Wisdom
1724	18689	Elizabeth Wetherell	1850	The Wide, Wide World
1725	18719	Murray Leinster	1953	Space Tug
1726	18752	Friedrich de la Motte Fouquée	1811	Undine
1727	18794	Christiaan Rudolf de Wet	1902	Three Years' War
1728	18807	Henry Beam Piper	1948	He Walked Around the Horses
1729	18829	Larry Evans	2004	Winner Take All
1730	18835	Alfred North Whitehead	1971	The Concept of Nature in Marx
1731	18860	William Winter	2002	The Story of Lucy Gault
1732	18881	John Kendrick Bangs	1869	The Idiot
1733	18883	A. E. W. Mason	1902	The Four Feathers
1734	18891	Ethel C. Pedley	1899	Dot and the Kangaroo
1735	18949	Henry Beam Piper	2003	Day of the Iguana
1736	18988	William Combe	2002	The Story of Lucy Gault
1737	19002	Lewis Carroll	1865	Alice's Adventures in Wonderland
1738	19082	William Rounseville Alger	2002	The Story of Lucy Gault
1739	19092	Thornton W. Burgess	1917	The Adventures of Paddy the Beaver
1740	19134	W. J. Dawson	1992	The Children of Men
1741	19141	Garrett Putman Serviss	1947	Edison's Conquest of Mars
1742	19145	Andre Norton	1958	The Time Traders
1743	19191	Edith Wharton	1907	The Fruit of the Tree
1744	19237	‘Abdu’l-Bahá	1875	The Secret of Divine Civilization
1745	19252	Shoghi Effendi	1974	Bahá'í Administration
1746	19284	‘Abdu’l-Bahá	1912	Paris Talks
1747	19337	Charles Dickens	1843	A Christmas Carol
1748	19362	Jules Verne and Michel Verne	1910	In the Year 2889
1749	19447	Albert Pike	1872	Morals and Dogma of the Ancient and Accepted Scottish Rite of Freemasonry
1750	19450	L Frank. Baum	1908	Dorothy and the Wizard in Oz
1751	19466	L Frank. Baum	1904	The Marvelous Land of Oz
1752	19467	L Frank. Baum	1914	Little Wizard Stories of Oz
1753	19500	Anthony Trollope	1864	Can You Forgive Her?
1754	19505	Charles Dickens	1843	A Christmas Carol
1755	19506	Mark Twain	1889	A Connecticut Yankee in King Arthur's Court
1756	19508	Jonathan Swift	1729	A Modest Proposal
1757	19515	Edgar Rice Burroughs	1917	A Princess of Mars
1758	19527	William MacLeod Raine	2002	The Story of Lucy Gault
1759	19573	Lewis Carroll	1865	Alice's Adventures in Wonderland
1760	19575	Lucy Maud Montgomery	1909	Anne of Avonlea
1761	19576	Lucy Maud Montgomery	1908	Anne of Green Gables
1762	19615	Legh Richmond	1814	The Dairyman's Daughter
1763	19634	Friedrich Nietzsche	1886	Beyond Good and Evil
1764	19640	Mark Twain	1885	Adventures of Huckleberry Finn
1765	19640	Mark Twain	1884	Adventures of Huckleberry Finn
1766	19651	Andre Alice Norton	1963	Key Out of Time
1767	19660	E. Everett Evans	1953	Man of Many Minds
1768	19680	Leo Tolstoy	1852	Childhood
1769	19683	Herbert Allen Giles	1902	China and the Chinese
1770	19686	Aldous Huxley	1921	Crome Yellow
1771	19710	Patrick MacGill	2012	The Party Journalist
1772	19722	Robert Louis Stevenson	1885	A Child's Garden of Verses
1773	19726	Marion Zimmer Bradley	1961	The Door Through Space
1774	19732	Hall Caine	1900	The Eternal City
1775	19762	Thomas Clark Hinkle	1973	How to Eat Fried Worms
1776	19766	Mary E. Wilkins	1892	Young Lucretia and Other Stories
1777	19771	Benjamin Disraeli	1837	Henrietta Temple
1778	19782	Jean Webster	1912	Daddy-Long-Legs
1779	19796	René Descartes	1637	Discourse on the Method
1780	19797	Bram Stoker	1897	Dracula
1781	19805	Beatrix Potter	1910	The Tale of Mrs. Tittlemouse
1782	19810	Willa Sibert Cather	1918	My Ántonia
1783	19831	Jefferson Davis	1881	The Rise and Fall of the Confederate Government
1784	19839	Jane Austen	1815	Emma
1785	19841	Mark Twain	1906	Eve's Diary
1786	19978	Fernando Pessoa	1918	35 Sonnets
1787	19986	Fà'iz El-Ghusein	1917	Martyred Armenia
1788	20008	Benjamin Disraeli	1831	The Young Duke
1789	20058	Gilbert K. Chesterton	1904	The Napoleon of Notting Hill
1790	20085	Henry James	1890	The Tragic Muse
1791	20101	Charles King	1916	Under Fire
1792	20101	Charles King	2015	Under Fire
1793	20122	Alexandre Dumas père	1849	The Queen's Necklace
1794	20154	John Wood Campbell	1961	Invaders from the Infinite
1795	20198	George Borrow	1851	Lavengro
1796	20241	William Painter	1890	The Palace of Pleasure
1797	20312	Charles Kingsley	1997	Out of the Dust
1798	20330	Harris Dickson	1901	The Black Wolf's Breed
1799	20335	James M. Beck	1936	The Cat and the Devil
1800	20358	Jean Webster	1907	Jerry Junior
1801	20387	M. R. (Montague Rhodes) James	1919	A Thin Ghost and Others
1802	20492	Rosa Mulholland	2005	Terry
1803	20506	H. C. Leeds	1920	The Cats of Ulthar
1804	20519	George Oliver Smith	1956	Highways in Hiding
1805	20532	P. G. Wodehouse	1906	Love Among the Chickens
1806	20563	Charles Goff Thomson	2005	Terry
1807	20606	Edith Nesbit	1910	The Magic City
1808	20657	Charles Lamb and Mary  Lamb	1807	Tales from Shakspeare
1809	20657	Charles Lamb and Mary  Lamb	1837	Tales from Shakspeare
1810	20657	Charles Lamb and Mary  Lamb	1918	Tales from Shakspeare
1811	20657	Charles Lamb and Mary  Lamb	1922	Tales from Shakspeare
1812	20707	John W Campbell	1953	The Black Star Passes
1813	20721	Amanda Minnie Douglas	1909	A Little Girl in Old Pittsburg
1814	20722	Amanda Minnie Douglas	1909	A Little Girl in Old Pittsburg
1815	20728	Henry Beam Piper	1963	Space Viking
1816	20749	Sir Walter Scott	1823	St. Ronan's Well
1817	20781	Johanna Spyri	1880	Heidi
1818	20782	Edward Elmer Smith	1934	Triplanetary
1819	20788	Andre Norton	1960	Storm Over Warlock
1820	20795	Charles Dickens	1845	The Cricket on the Hearth
1821	20796	Marion Zimmer Bradley	1963	The Colors of Space
1822	20857	Edward Elmer Smith	1947	Spacehounds of IPC
1823	20869	Edward Elmer Smith and Lee Hawkins Garby	1928	The Skylark of Space
1824	20919	Robert Sheckley	1960	The Status Civilization
1825	20933	Gilbert White	1789	The Natural History and Antiquities of Selborne
1826	20934	Gilbert White	1789	The Natural History and Antiquities of Selborne
1827	20988	John W Campbell	1957	Islands of Space
1828	21002	Thomas Jefferson	1894	The Writings of Thomas Paine
1829	21048	Jean Webster	1911	Just Patty
1830	21051	Edward Elmer Smith	1948	Skylark Three
1831	21088	John Conroy Hutcheson	2010	The White Road
1832	21088	John Conroy Hutcheson	2002	The White Road
1833	21188	Victor Appleton	1914	Tom Swift and His Photo Telephone
1834	21197	Diego Collado	1632	Diego Collado's Grammar of the Japanese Language
1835	21205	Harold Bindloss	1910	The Gold Trail
1836	21264	Jean Webster	1908	The Four Pools Mystery
1837	21266	Charles Almanzo Babcock	1901	Bird day; how to prepare for it
1838	21331	James Morier	1824	The adventures of Hajji Baba of Ispahan
1839	21549	Captain Frederick Marryat	1834	Jacob Faithful
1840	21550	Captain Frederick Marryat	1830	The King's Own
1841	21557	Captain Frederick Marryat	1832	Newton Forster
1842	21571	Frederick Marryat	1835	The Pacha of Many Tales
1843	21572	Frederick Marryat	1842	Percival Keene
1844	21573	Frederick Marryat	1837	The Phantom Ship
1845	21578	Edward Howard	1836	Rattlin the Reefer
1846	21580	Frederick Marryat	1822	The Pirate
1847	21582	Patrick Fahy	2012	The Party Journalist
1848	21621	William G. Rutherford	2002	The Story of Lucy Gault
1849	21639	Jean Webster	1903	When Patty Went to College
1850	21659	Miles Franklin	1909	Some Everyday Folk and Dawn
1851	21670	Garrett Putnam Serviss	1947	Edison's Conquest of Mars
1852	21770	Henry James	1884	The Author of Beltraffio
1853	21816	Herman Melville	1857	The Confidence-Man
1854	21839	Jane Austen	1811	Sense and Sensibility
1855	21873	Harry Harrison	1962	Planet of the Damned
1856	21886	Mary Johnston	1667	Paradise Lost
1857	21913	William O. Stoddard	2002	The Story of Lucy Gault
1858	21914	L. Frank Baum	1905	The Woggle-Bug Book
1859	21936	Jack London	1902	The Cruise of the Dazzler
1860	21943	Adelbert von Chamisso	1814	Peter Schlemihl
1861	21957	David C. Taylor	1980	The Psychology of the Psychic
1862	21964	William Patterson Atkinson	2002	The Story of Lucy Gault
1863	21969	Henry James	1911	The Outcry
1864	21970	Jack London	1912	The Scarlet Plague
1865	21971	Jack London	1912	A Son of the Sun
1866	22053	U. Waldo Cutler	1904	Stories of King Arthur and His Knights
1867	22109	Dan Beard	1980	Metroland
1868	22147	Daniel A. Goodsell	1980	The Secret Servant
1869	22147	Daniel A. Goodsell	2007	The Secret Servant
1870	22158	Harold MacGrath	1908	The Lure of the Mask
1871	22214	Margaret Wolfe Hamilton	1878	Molly Bawn
1872	22472	Charles Fort	1919	The Book of the Damned
1873	22480	D. H. Lawrence	1916	The Prussian Officer and Other Stories
1874	22496	Frederick Marryat	1844	The Settlers in Canada
1875	22524	William Morrison	2002	The Story of Lucy Gault
1876	22532	Emma Speed Sampson	1922	Mary Louise and Josie O'Gorman
1877	22547	Edward Stratemeyer (AKA Arthur M. Winfield)	1909	The Rover Boys on Treasure Isle
1878	22557	J. G. Bourinot	2012	The Casual Vacancy
1879	22566	L. Frank Baum	1908	Dorothy and the Wizard in Oz
1880	22629	Edward Elmer Smith	1960	The Vortex Blaster
1881	22650	William Morris	1858	The Defence of Guenevere and Other Poems
1882	22680	James Russell Lowell	1988	The Big Nowhere
1883	22704	Edward Bellamy	1889	To Whom This May Come
1884	22720	William Le Queux	2002	The Story of Lucy Gault
1885	22752	William MacLeod Raine	2002	The Story of Lucy Gault
1886	22754	Edward Elmer Smith	1962	Masters of Space
1887	22775	Hugo Münsterberg	1909	Psychotherapy
1888	22782	Paul Carus	1927	The Living Buddha
1889	22877	George Borrow	1851	Lavengro
1890	22878	George Borrow	1851	Lavengro
1891	22888	Kate Greenaway	1879	Under the Window
1892	22910	Sir Henry James Sumner Maine	1861	Ancient Law
1893	22914	Robert Boyle	1661	The Sceptical Chymist
1894	22928	Stephen French Whitman	1974	Carrie
1895	22996	Edward Stratemeyer	1906	The Rover Boys on the Plains
1896	23034	Brantz Mayer	1855	Captain Canot
1897	23042	William Shakespeare	1940	The Hamlet
1898	23046	William Shakespeare	2002	The Story of Lucy Gault
1899	23058	Alexander Sergeievitch Poushkin	1834	The Queen of Spades
1900	23126	Frederic W. Farrar	1858	Eric, or, Little by Little
1901	23193	Mayne Reid	1855	The White Chief
1902	23287	George Borrow	1851	Lavengro
1903	23303	Anonymous	2012	Canada
1904	23344	Charles Dickens	1859	On the Origin of Species
1905	23350	Beatrix Potter	1922	Cecily Parsley's Nursery Rhymes
1906	23489	Jules Verne	1882	Godfrey Morgan
1907	23506	Joseph Conrad	1986	Chance
1908	23506	Joseph Conrad	2004	Chance
1909	23506	Joseph Conrad	1913	Chance
1910	23514	Thomas Nelson Page	1951	The Holy Sinner
1911	23564	William Harrison Ainsworth	1834	Rookwood
1912	23601	James B. Connolly	1961	The Lovers
1913	23601	James B. Connolly	2009	The Lovers
1914	23614	Oliver Herford	1995	Happy Days
1915	23625	Norman Lindsay	1918	The Magic Pudding
1916	23636	William Fitzgerald Jenkins	2010	A Fatal Frame of Mind
1917	23727	D. H. Lawrence	1920	The Lost Girl
1918	23731	Stanley Grauman Weinbaum	1934	A Martian Odyssey
1919	23771	Edward Eggleston	1871	The Hoosier Schoolmaster
1920	23772	John Donne	1624	Devotions upon Emergent Occasions
1921	23779	Amanda Millie Douglas	1909	A Little Girl in Old Pittsburg
1922	23786	Amanda Millie Douglas	1909	A Little Girl in Old Pittsburg
1923	23790	John Wood Campbell	1966	The Ultimate Weapon
1924	23860	William A. Alcott	2002	The Story of Lucy Gault
1925	23885	Douglas Grant	1982	Life, the Universe and Everything
1926	23923	Owen Wister	1907	How Doth the Simple Spelling Bee
1927	23997	Aleksandr Sergeevich Pushkin	1825	Eugene Onegin
1928	24010	Anatole France	1912	The Gods Are Athirst
1929	24020	George Eliot	1862	Romola
1930	24022	Charles Dickens	1843	A Christmas Carol
1931	24034	Anthony Hope	1978	The Mirror
1932	24034	Anthony Hope	1885	The Mirror
1933	24035	Murray Leinster	1959	The Pirates of Zan
1934	24093	Thomas Dixon	1911	The Root of Evil
1935	24096	J.-K. (Joris-Karl) Huysmans	1895	En route
1936	24103	Anthony Trollope	1879	Cousin Henry
1937	24201	R. Austin Freeman	1911	The Eye of Osiris
1938	24211	Frederick Marryat	1844	The Settlers in Canada
1939	24246	Ward Moore	1947	Greener Than You Think
1940	24280	John Keats	1667	Paradise Lost
1941	24297	William Murray Graydon	2002	The Story of Lucy Gault
1942	24299	William Murray Graydon	2002	The Story of Lucy Gault
1943	24301	William Murray Graydon	2002	The Story of Lucy Gault
1944	24306	Robert Chambers	1981	The Flame Knife
1945	24379	Charles E. Carryl	1892	The Admiral's Caravan
1946	24436	Gordon Randall Garrett	1962	Anything You Can Do
1947	24459	L. Frank Baum	1917	The Lost Princess of Oz
1948	24470	Frederick Marryat	1834	Japhet, in Search of a Father
1949	24499	Robert Smythe Hichens	1894	The Green Carnation
1950	24574	John Henry Newman	1848	Loss and Gain
1951	24632	Talbot Baines Reed	1887	The Fifth Form at St. Dominic's
1952	24693	John Maclean	1935	Tortilla Flat
1953	24742	James Stephens	2006	Mary, Mary
1954	24842	Ernest Dunlop Swinton	1904	The Defence of Duffer's Drift
1955	24923	Charles Darwin	1868	The Variation of Animals and Plants under Domestication
1956	25014	Gustave Flaubert	1881	Bouvard et Pécuchet
1957	25031	Charles E. Carryl	1885	Davy and the Goblin
1958	25051	Murray Leinster	1953	Space Platform
1959	25053	Gustave Flaubert	1874	The Temptation of Saint Anthony
1960	25063	John Gay	2008	The Reapers
1961	25068	William Martin	1795	The Book of Los
1962	25102	Hector Malot	1893	Nobody's Girl
1963	25301	Thornton W. Burgess	1915	The Adventures of Danny Meadow Mouse
1964	25308	G. K. Chesterton	1922	Eugenics and other Evils
1965	25344	Nathaniel Hawthorne	1850	The Scarlet Letter
1966	25345	Jacob Wassermann	2006	The Jesus Dynasty
1967	25383	William Dean Howells	2002	The Story of Lucy Gault
1968	25430	Sinclair Lewis	1917	The Innocents
1969	25439	Edward Bellamy	1888	Looking Backward
1970	25449	George Manville Fenn	1967	The Cat
1971	25474	Sinclair Lewis	1917	The Job
1972	25519	L. Frank Baum	1914	Little Wizard Stories of Oz
1973	25529	Thornton W. Burgess	1915	The Adventures of Danny Meadow Mouse
1974	25547	William Morris	1897	The Sundering Flood
1975	25550	Andre Alice Norton	1962	The Defiant Agents
1976	25570	Hall Caine	1894	The Manxman
1977	25579	Anthony Trollope	1870	Ralph the Heir
1978	25581	L. Frank Baum	1916	Rinkitink in Oz
1979	25584	Joseph Sheridan Le Fanu	1975	The Purcell Papers
1980	25584	Joseph Sheridan Le Fanu	1880	The Purcell Papers
1981	25608	Robert Louis Stevenson	1885	A Child's Garden of Verses
1982	25609	Robert Louis Stevenson	1885	A Child's Garden of Verses
1983	25610	Robert Louis Stevenson	1885	A Child's Garden of Verses
1984	25611	Robert Louis Stevenson	1885	A Child's Garden of Verses
1985	25617	Robert Louis Stevenson	1885	A Child's Garden of Verses
1986	25627	Robert Silverberg	1961	The Haunted Monastery
1987	25767	Henry James	1893	Picture and Text
1988	25786	Charles Whibley	1842	American Notes
1989	25838	Francis Marion Crawford	1907	Fair Margaret
1990	25876	George Douglas Brown	1901	The House with the Green Shutters
1991	25885	Ben Ames Williams	1919	All the Brothers Were Valiant
1992	25888	William Beebe	2002	The Story of Lucy Gault
1993	25955	Emmuska Orczy, Baroness Orczy	1915	The Bronze Eagle
1994	26027	Rudyard Kipling	1906	Puck of Pook's Hill
1995	26098	Alan Alexander Milne	1995	Happy Days
1996	26240	Thomas Dixon	1906	The Clansman
1997	26295	William M. Thayer	2002	The Story of Lucy Gault
1998	26316	Ellen Glasgow	1913	Virginia
1999	26334	William Edward Hartpole Lecky	2002	The Story of Lucy Gault
2000	26348	Hans Aanrud	1903	Lisbeth Longfrock
2001	26494	Oscar Wilde	1921	Vera
2002	26499	Opie Read	1896	The Jucklins
2003	26514	Max Pemberton	1893	The Iron Pirate
2004	26516	William Beebe	2002	The Story of Lucy Gault
2005	26526	E. W. (Ernest William) Hornung	1905	Stingaree
2006	26541	Anthony Trollope	1870	The Vicar of Bullhampton
2007	26610	Sinclair Lewis	1915	The Trail of the Hawk
2008	26624	L. Frank Baum	1909	The Road to Oz
2009	26637	William Le Queux	2002	The Story of Lucy Gault
2010	26651	Robert W. Chambers	1981	The Flame Knife
2011	26659	William James	1913	The Wallet of Time
2012	26732	Sinclair Lewis	1919	Free Air
2013	26740	Oscar Wilde	1890	The Picture of Dorian Gray
2014	26779	William. D. O'Connor	2002	The Story of Lucy Gault
2015	26842	George Santayana	1896	The Sense of Beauty
2016	26851	Thomas Hughes	1861	Tom Brown at Oxford
2017	26977	William Bowen	1921	The Old Tobacco Shop
2018	26998	J. M. Barrie	1906	Peter Pan in Kensington Gardens
2019	26999	J. M. Barrie	1906	Peter Pan in Kensington Gardens
2020	27063	William Somerset Maugham	2002	The Story of Lucy Gault
2021	27083	John Stuart Mill	1869	The Subjection of Women
2022	27085	Carl Sandburg	1922	Rootabaga Stories
2023	27179	Jan Kochanowski	1580	Laments
2024	27189	Leo Tolstoi	1904	Bethink Yourselves!
2025	27384	Alexandre Dumas (Pere)	1836	The Captain's Daughter
2026	27385	Alexandre Dumas (Pere)	1843	The Conspirators (novel)
2027	27411	Anton Tchekoff	1896	The House with the Mezzanine
2028	27424	Hilaire Belloc	1907	Cautionary Tales for Children
2029	27432	Ford Madox Ford	1906	The Fifth Queen
2030	27444	Robert Silverberg	1958	Starman's Quest
2031	27575	Gustave Flaubert	1857	Madame Bovary
2032	27618	Susan Warner	2004	The End of Faith
2033	27635	Henry Ernest Dudeney	1907	The Canterbury Puzzles
2034	27669	James Herbert Walker	2006	The Jesus Dynasty
2035	27681	James Fenimore Cooper	1826	The Last of the Mohicans
2036	27683	Helen Keller	1908	The World I Live In
2037	27690	Hector Malot	1893	Nobody's Girl
2038	27698	William Roscher	1848	Principles of Political Economy
2039	27705	William Le Queux	1957	The Town
2040	27705	William Le Queux	1950	The Town
2041	27712	Anthony Trollope	1871	Sir Harry Hotspur of Humblethwaite
2042	27737	Alphonse Daudet	1868	Le Petit Chose
2043	27771	A. A. Milne	1917	Once on a Time
2044	27780	Robert Louis Stevenson	1883	Treasure Island
2045	27786	William John Locke	2002	The Story of Lucy Gault
2046	27805	Kenneth Grahame	1908	The Wind in the Willows
2047	27851	Alfred Gurney	1884	A Christmas Faggot
2048	27870	Rudyard Kipling	1896	The Seven Seas
2049	27887	Ernest Thompson Seton	1898	Wild Animals I Have Known
2050	27922	Edward Ormondroyd	1957	David and the Phoenix
2051	27924	Charles Dickens	1866	Mugby Junction
2052	27935	Frank A. Munsey	2015	Under Fire
2053	27935	Frank A. Munsey	1916	Under Fire
2054	27951	L. Frank Baum	1907	Policeman Bluejay
2055	27981	Mayne Reid	1858	The Plant Hunters
2056	28004	Henry James	1884	A Little Tour in France
2057	28030	Henry Slesar	1908	Maurice Guest
2058	28054	Fyodor Dostoyevsky	1880	The Brothers Karamazov
2059	28069	John Kendrick Bangs	1907	Alice in Blunderland: An Iridescent Dream
2060	28225	William Carew Hazlitt	2002	The Story of Lucy Gault
2061	28240	Adam Mickiewicz	1834	Pan Tadeusz
2062	28242	Lydia Maria Child	1833	An Appeal in Favor of that Class of Americans Called Africans
2063	28244	Robert W. Chambers	1951	The Rebel
2064	28376	Susan Warner	1850	The Wide, Wide World
2065	28435	James De Mille	2002	The Story of Lucy Gault
2066	28484	H. L. Mansel	1933	The Shape of Things to Come
2067	28489	William J. Locke	1906	The Beloved Vagabond
2068	28495	Ian Hay	1991	Scalpel
2069	28500	William H. Ukers	2002	The Story of Lucy Gault
2070	28527	Henry Fisk Carlton	1855	The Song of Hiawatha
2071	28554	Philip Kindred Dick	1988	Beyond Lies the Wub
2072	28619	Mrs. Molesworth	1877	The Cuckoo Clock
2073	28629	Mrs [Margaret] Oliphant	1876	Phoebe, Junior
2074	28656	Herman Melville	1846	Typee
2075	28696	Lewis Carroll	1896	Symbolic Logic
2076	28722	Robert Louis Stevenson	1885	A Child's Garden of Verses
2077	28847	William [Wilhelm] Busch	1865	Max and Moritz
2078	28871	George Rawlinson	1875	The Seven Great Monarchies Of The Ancient Eastern World
2079	28885	Lewis Carroll	1865	Alice's Adventures in Wonderland
2080	28897	Charles Darwin	1868	The Variation of Animals and Plants under Domestication
2081	28988	Theodore Dreiser	1911	Jennie Gerhardt
2082	29000	Anthony Trollope	1847	The Macdermots of Ballycloran
2083	29042	Lewis Carroll	1885	A Tangled Tale
2084	29131	Robert Ames Bennet	1879	Travels with a Donkey in the Cévennes
2085	29173	William Le Queux	2002	The Story of Lucy Gault
2086	29196	Robert J. Shea	1990	Mine
2087	29220	Virginia Woolf	1921	Monday or Tuesday
2088	29257	Ameen Rihani	1911	The Book of Khalid
2089	29311	Edmond Leamy	1920	Irish Fairy Tales
2090	29345	Robert Frost	1916	Mountain Interval
2091	29399	Charles Webster Leadbeater	1899	Clairvoyance
2092	29405	Edgar Rice Burroughs	1918	The Gods of Mars
2093	29452	Henry James	1902	The Wings of the Dove
2094	29472	H. G. Wells	1895	Select Conversations with an Uncle
2095	29487	Robert Sheckley	1879	Travels with a Donkey in the Cévennes
2096	29579	Robert Sheckley	1953	Watchbird
2097	29581	Marah Ellis Ryan	2005	The Breadwinner
2098	29602	James Roberts	2006	The Jesus Dynasty
2099	29623	Wesley Barefoot	1877	The Cuckoo Clock
2100	29629	Burton Egbert Stevenson	1879	Travels with a Donkey in the Cévennes
2101	29650	Harold Bindloss	1909	The Greater Power
2102	29756	G. A. Henty	1888	The Cat of Bubastes
2103	29888	Lewis Carroll	1876	The Hunting of the Snark
2104	29897	William Morrison	1931	Sanctuary
2105	29897	William Morrison	1995	Sanctuary
2106	29897	William Morrison	2003	Sanctuary
2107	30017	Ruth Stiles Gannett	1948	My Father's Dragon
2108	30023	William Dean Howells	2002	The Story of Lucy Gault
2109	30059	Henry James	1902	The Wings of the Dove
2110	30107	John Stuart Mill	1848	Principles of Political Economy
2111	30120	Oscar Wilde	1888	The Happy Prince and Other Tales
2112	30142	Cory Doctorow	2008	Little Brother
2113	30142	Cory Doctorow	1985	Little Brother
2114	30149	Susan Warner	1980	Metroland
2115	30188	Ford Madox Ford	1906	The Fifth Queen
2116	30208	Robert G. Ingersoll	2007	The Ghost
2117	30236	Juan Valera	1874	Pepita Jiménez
2118	30274	Thomas Day	1783	The History of Sandford and Merton
2119	30302	Elizabeth Beauchamp	1901	The Benefactress
2120	30365	Henryk Sienkiewicz	1911	In Desert and Wilderness
2121	30368	Charles Dickens	1843	A Christmas Carol
2122	30371	Charles Louis Fontenay	1879	Travels with a Donkey in the Cévennes
2123	30477	William Le Queux	2002	The Story of Lucy Gault
2124	30486	Charlotte Brontë	1849	Shirley
2125	30503	Edward Money	2005	The Truth About Hillary
2126	30528	Anderson Horne	1904	The Day of the Dog
2127	30537	L. Frank Baum	1909	The Road to Oz
2128	30601	Elsie Lincoln Benedict and Ralph Paine Benedict	1921	How to Analyze People on Sight
2129	30664	John Henry Cardinal Newman	1855	Callista
2130	30723	Ivan Sergeevich Turgenev	1862	Fathers and Sons
2131	30742	Gordon Randall Garrett	1962	Anything You Can Do
2132	30754	John Ruskin	1853	The Stones of Venice
2133	30755	John Ruskin	1853	The Stones of Venice
2134	30756	John Ruskin	1853	The Stones of Venice
2135	30792	George Borrow	1851	Lavengro
2136	30795	Henry Wadsworth Longfellow	1855	The Song of Hiawatha
2137	30841	Edward Stratemeyer	1906	The Rover Boys on the Plains
2138	30852	L. Frank  Baum	1918	The Tin Woodman of Oz
2139	31004	Samuel Warren	1841	Ten Thousand a-Year
2140	31053	Daniel Defoe	1996	The Story of B
2141	31108	Robert Hunter	1837	Goldilocks and the Three Bears
2142	31274	Anthony Trollope	1873	Lady Anna
2143	31305	Heinrich Heine	1843	Atta Troll
2144	31422	Jack London	1903	The Kempton-Wace Letters
2145	31466	William Roscoe	2002	The Story of Lucy Gault
2146	31488	Stephen Crane	1907	The Secret Agent
2147	31542	Romain Rolland	1920	Pierre et Luce
2148	31619	Marion Zimmer Bradley	1962	The Planet Savers
2149	31622	Helen Keller	1903	Optimism
2150	31710	Richard Jefferies	1994	The Will and the Way
2151	31763		1920	Irish Fairy Tales
2152	31824	Theodore Dreiser	1915	"The ""Genius"""
2153	31879	Hannah More	1809	Coelebs in Search of a Wife
2154	31945	Kálmán Mikszáth	1895	St. Peter's Umbrella
2155	32022	John Addington Symonds	1883	A Problem in Greek Ethics
2156	32026	Clifford Donald Simak	1959	The World That Couldn't Be
2157	32032	Philip Kindred Dick	1989	Second Variety
2158	32032	Philip Kindred Dick	1991	Second Variety
2159	32087	Frank Riley	1979	The Executioner's Song
2160	32094	L. Frank Baum	1913	The Patchwork Girl of Oz
2161	32154	Philip K. Dick	1957	The Variable Man
2162	32205	Frederick Boyle	2012	The Party Journalist
2163	32224	Thomas Hughes	1857	Tom Brown's School Days
