	bookNo	author	year	book
928	4448	George Meredith	1870	The Adventures of Harry Richmond
929	4449	George Meredith	1870	The Adventures of Harry Richmond
930	4450	George Meredith	1870	The Adventures of Harry Richmond
931	4451	George Meredith	1870	The Adventures of Harry Richmond
932	4452	George Meredith	1870	The Adventures of Harry Richmond
933	4453	George Meredith	1875	Beauchamp's Career
934	4454	George Meredith	1875	Beauchamp's Career
935	4455	George Meredith	1875	Beauchamp's Career
936	4456	George Meredith	1875	Beauchamp's Career
937	4457	George Meredith	1875	Beauchamp's Career
938	4458	George Meredith	1875	Beauchamp's Career
939	4459	George Meredith	1875	Beauchamp's Career
940	4460	George Meredith	1875	Beauchamp's Career
941	4508	Norman Douglas	1917	South Wind
942	4520	D. H. Lawrence	1922	Aaron's Rod
943	4526	George Gissing	1892	Born in Exile
944	4532	Victor Appleton	1914	Tom Swift and His Photo Telephone
945	4540	Charles M. Sheldon	1896	In His Steps
946	4543	George Berkley	1735	The Querist
947	4552	Zane Grey	1916	The Border Legion
948	4556	Marjorie Allen Seiffert	1842	A Woman of Thirty
949	4583	David Hume	1779	Dialogues Concerning Natural Religion
950	4599	Anthony Trollope	1862	The Small House at Allington
951	4600	William Dean Howells	1890	A Hazard of New Fortunes
952	4603	Robert Hichens	1859	On the Origin of Species
953	4608	Victor Appleton	1912	Tom Swift in Captivity
954	4630	T. S. Arthur	2008	The Hollow Men
955	4630	T. S. Arthur	1998	The Hollow Men
956	4630	T. S. Arthur	1925	The Hollow Men
957	4635	Victor Appleton	1912	Tom Swift and His Great Searchlight
958	4666	Hector St. John de Crevecoeur	1782	Letters from an American Farmer
959	4686	Suelette Dreyfus	1997	Underground
960	4686	Suelette Dreyfus	2006	Underground
961	4704	James Oliver Curwood	1919	Nomads of the North
962	4705	David Hume	1738	A Treatise of Human Nature
963	4709	George Barr McCutcheon	1902	Brewster's Millions
964	4722	George Berkeley	1709	An Essay Towards a New Theory of Vision
965	4723	George Berkeley	1710	A Treatise Concerning the Principles of Human Knowledge
966	4724	George Berkeley	1713	Three Dialogues between Hylas and Philonous
967	4730	C. J. Dennis	1915	The Songs of a Sentimental Bloke
968	4731	Ethel Sybil Turner	1894	Seven Little Australians
969	4734	Arnold Bennett	1907	The Grim Smile of the Five Towns
970	4745	A. E. W. Mason	1910	At the Villa Rose
971	4747	James Oliver Curwood	1919	The River's End
972	4748	James Oliver Curwood	1917	Baree, Son of Kazan
973	4761	Leo Tolstoy	1863	The Cossacks
974	4763	Lewis Carroll	1887	The Game of Logic
975	4770	Louisa May Alcott	1873	Work: A Story of Experience
976	4774	William Shakespeare	2002	The Story of Lucy Gault
977	4910	Norman Lindsay	1918	The Magic Pudding
978	4917	Anthony Trollope	1848	The Kellys and the O'Kellys
979	4920	Austin Hall	1951	The Blind Spot
980	4922	Clarence E. Mulford	1906	Bar-20
981	4925	Thomas Bulfinch	1807	The Age of Reason
982	4925	Thomas Bulfinch	1795	The Age of Reason
983	4925	Thomas Bulfinch	1794	The Age of Reason
984	4925	Thomas Bulfinch	1945	The Age of Reason
985	4928	Thomas Bulfinch	1855	Bulfinch's Mythology
986	4943	Winston S. Churchill	1899	The River War
987	4961	Sinclair Lewis	1914	Our Mr. Wrenn
988	4966	Sir Walter Scott	1814	Waverley
989	4969	Anthony Trollope	1865	The Belton Estate
990	5007	Arthur B. Reeve	1913	The Poison Belt
991	5083	Henry Mackenzie	1771	The Man of Feeling
992	5085	William Hazlitt	1817	Characters of Shakespear's Plays
993	5093	J.M. Barrie	1902	The Little White Bird
994	5109	Ignatius Donnelly	1883	Ragnarok: The Age of Fire and Gravel
995	5117	William James	1959	The Mansion
996	5118	Anthony Trollope	1877	The American Senator
997	5122	John Fox, Jr.	1908	The Trail of the Lonesome Pine
998	5129	Vaughan Kester	1911	The Prodigal Judge
999	5135	Emile Zola	1871	The Fortune of the Rougons
1000	5140	Anthony Trollope	1869	He Knew He Was Right
1001	5148	Arthur Conan Doyle	1896	Rodney Stone
1002	5155	Ignatius Donnelly	1890	Caesar's Column
1003	5164	Richard Marsh	1861	The Beetle
1004	5164	Richard Marsh	1897	The Beetle
1005	5167	William Butler Yeats	2002	The Story of Lucy Gault
1006	5170	Ella Wheeler Wilcox	1917	Poems of Experience
1007	5174	H. Rider Haggard	1915	Allan and the Holy Flower
1008	5175	H. Rider Haggard	1903	Pearl Maiden
1009	5182	Clara Reeve	1777	The Old English Baron
1010	5191	William Henry Rhodes	2002	The Story of Lucy Gault
1011	5199	Sir Ernest Shackleton	1919	South
1012	5207	Joseph A. Altsheler	1939	The Legend of the Holy Drinker
1013	5228	H. Rider Haggard	1905	Ayesha
1014	5230	H. G. Wells	1911	The Invisible Man
1015	5230	H. G. Wells	1897	The Invisible Man
1016	5231	Anthony Trollope	1875	The Way We Live Now
1017	5231	Anthony Trollope	1990	The Way We Live Now
1018	5247	Arnold Bennett	1908	The Old Wives' Tale
1019	5265	G.K. Chesterton	1909	The Ball and the Cross
1020	5267	Theodore Dreiser	1900	Sister Carrie
1021	5272	Robert Louis Stevenson	1879	Travels with a Donkey in the Cévennes
1022	5311	Christopher Morley	1917	Parnassus on Wheels
1023	5312	L. Frank Baum	1897	Mother Goose in Prose
1024	5324	Sabine Baring-Gould	1865	The Book of Were-Wolves
1025	5339	Adelbert Chamisso	1814	Peter Schlemihl
1026	5340	Lucy Maud Montgomery	1920	Further Chronicles of Avonlea
1027	5341	Lucy Maud Montgomery	1910	Kilmeny of the Orchard
1028	5342	Lucy Maud Montgomery	1911	The Story Girl
1029	5343	Lucy Maud Montgomery	1919	Rainbow Valley
1030	5347	Dorothy Canfield	1916	Understood Betsy
1031	5348	Horatio Alger	1868	Ragged Dick
1032	5353	Sir Walter Scott	1815	Guy Mannering
1033	5354	Sir Walter Scott	1815	Guy Mannering
1034	5355	Sir Walter Scott	1815	Guy Mannering
1035	5356	Winston Churchill	1913	The Inside of the Cup
1036	5357	Winston Churchill	1913	The Inside of the Cup
1037	5358	Winston Churchill	1913	The Inside of the Cup
1038	5359	Winston Churchill	1913	The Inside of the Cup
1039	5360	Winston Churchill	1913	The Inside of the Cup
1040	5361	Winston Churchill	1913	The Inside of the Cup
1041	5362	Winston Churchill	1913	The Inside of the Cup
1042	5363	Winston Churchill	1913	The Inside of the Cup
1043	5364	Winston Churchill	1913	The Inside of the Cup
1044	5365	Winston Churchill	1899	Richard Carvel
1045	5366	Winston Churchill	1899	Richard Carvel
1046	5367	Winston Churchill	1899	Richard Carvel
1047	5368	Winston Churchill	1899	Richard Carvel
1048	5369	Winston Churchill	1899	Richard Carvel
1049	5370	Winston Churchill	1899	Richard Carvel
1050	5371	Winston Churchill	1899	Richard Carvel
1051	5372	Winston Churchill	1899	Richard Carvel
1052	5373	Winston Churchill	1899	Richard Carvel
1053	5374	Winston Churchill	1910	A Modern Chronicle
1054	5375	Winston Churchill	1910	A Modern Chronicle
1055	5376	Winston Churchill	1910	A Modern Chronicle
1056	5377	Winston Churchill	1910	A Modern Chronicle
1057	5378	Winston Churchill	1910	A Modern Chronicle
1058	5379	Winston Churchill	1910	A Modern Chronicle
1059	5380	Winston Churchill	1910	A Modern Chronicle
1060	5381	Winston Churchill	1910	A Modern Chronicle
1061	5382	Winston Churchill	1910	A Modern Chronicle
1062	5398	Winston Churchill	1918	A Traveller In War-Time
1063	5401	Myrtle Reed	1909	Old Rose and Silver
1064	5500	Francis Bacon	1605	The Advancement of Learning
1065	5658	Joseph Conrad	1900	Lord Jim
1066	5669	John Stuart Mill	1861	Considerations on Representative Government
1067	5670	Virginia Woolf	1922	Jacob's Room
1068	5687	Charles Kingsley	1846	The Battle of Life
1069	5688	Mark Twain (Samuel Clemens)	1869	The Innocents Abroad
1070	5689	Mark Twain (Samuel Clemens)	1869	The Innocents Abroad
1071	5690	Mark Twain (Samuel Clemens)	1869	The Innocents Abroad
1072	5691	Mark Twain (Samuel Clemens)	1869	The Innocents Abroad
1073	5692	Mark Twain (Samuel Clemens)	1869	The Innocents Abroad
1074	5693	Mark Twain (Samuel Clemens)	1869	The Innocents Abroad
1075	5726	Arabella B. Buckley	1900	The fairy-land of science
1076	5737	Jack London	1912	Smoke Bellew
1077	5745	H. Rider Haggard	1921	She and Allan
1078	5746	H. Rider Haggard	1920	The Ancient Allan
1079	5754	H. Rider Haggard	1901	Lysbeth
1080	5759	George Barr McCutcheon	1904	The Day of the Dog
1081	5764	H. Rider Haggard	1898	Doctor Therne
1082	5768	Sam Williams	2002	Free as in Freedom: Richard Stallman's Crusade for Free Software
1083	5774	Upton Sinclair	1922	They Call Me Carpenter
1084	5782	Mark Twain (Samuel Clemens)	1880	A Tramp Abroad
1085	5783	Mark Twain (Samuel Clemens)	1880	A Tramp Abroad
1086	5784	Mark Twain (Samuel Clemens)	1880	A Tramp Abroad
1087	5785	Mark Twain (Samuel Clemens)	1880	A Tramp Abroad
1088	5786	Mark Twain (Samuel Clemens)	1880	A Tramp Abroad
1089	5787	Mark Twain (Samuel Clemens)	1880	A Tramp Abroad
1090	5788	Mark Twain (Samuel Clemens)	1880	A Tramp Abroad
1091	5808	Mark Twain (Samuel Clemens)	1897	Following the Equator
1092	5809	Mark Twain (Samuel Clemens)	1897	Following the Equator
1093	5810	Mark Twain (Samuel Clemens)	1897	Following the Equator
1094	5811	Mark Twain (Samuel Clemens)	1897	Following the Equator
1095	5812	Mark Twain (Samuel Clemens)	1897	Following the Equator
1096	5813	Mark Twain (Samuel Clemens)	1897	Following the Equator
1097	5814	Mark Twain (Samuel Clemens)	1897	Following the Equator
1098	5815	E. Phillips Oppenheim	1920	The Great Impersonation
